Feature,Count,Missing Values,Unique Values,Mean,Median,Mode,Minimum,Maximum,Range,Variance,Standard Deviation,Q1,Q2,Q3,IQR,Skewness,Kurtosis
Flow_IAT_Min,2522362,0,181,47.062588954321384,4.0,3.0,-14.0,168.0,182.0,4137.0186610705605,64.31965998876673,3.0,4.0,69.0,66.0,1.1301083218536194,-0.41573201800051907
Fwd_IAT_Mean,2522362,0,449480,447022.80002201506,49.0,0.0,0.0,1842329.1695625,1842329.1695625,560584595338.2031,748721.9746596216,1.0,49.0,736932.267825,736931.267825,1.219132541066952,-0.39773968034546936
Fwd_IAT_Std,2522362,0,324083,355538.0038080274,0.0,0.0,0.0,1415821.0739375,1415821.0739375,362519477199.7667,602095.9036563584,0.0,0.0,566328.429575,566328.429575,1.1665000117508841,-0.6101053224720339
Fwd_IAT_Min,2522362,0,127,32.83189228984579,3.0,0.0,-12.0,122.5,134.5,2397.6236346779165,48.965535171974956,0.0,3.0,49.0,49.0,1.1281903449226274,-0.525857626081121
Bwd_IAT_Total,2522362,0,182336,94954.00566334253,3.0,0.0,0.0,376100.0,376100.0,23704296438.3059,153961.99673395348,0.0,3.0,150440.0,150440.0,1.1700149467371102,-0.4981846385004909
Bwd_IAT_Mean,2522362,0,252945,18560.880316114788,3.0,0.0,0.0,74225.0,74225.0,912538387.8969247,30208.25032829483,0.0,3.0,29690.0,29690.0,1.1868729479249593,-0.4523261684195674
Bwd_IAT_Std,2522362,0,302020,17958.112064696754,0.0,0.0,0.0,72727.7385842473,72727.7385842473,883077238.8850771,29716.61553550601,0.0,0.0,29091.095433698923,29091.095433698923,1.1821225639662443,-0.4881880666497662
Bwd_IAT_Max,2522362,0,157838,73863.56067586651,3.0,0.0,0.0,302772.5,302772.5,14889962770.656645,122024.4351376258,0.0,3.0,121109.0,121109.0,1.2274748264396587,-0.35072940721899526
Bwd_IAT_Min,2522362,0,119,22.684348241846333,3.0,0.0,0.0,117.5,117.5,1487.6100684469743,38.56954846050151,0.0,3.0,47.0,47.0,1.6467966351057028,1.304004097648928
Fwd_PSH_Flags,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd_Header_Length,2522362,0,85,103.29858125043114,64.0,40.0,-116.0,300.0,416.0,8757.890040919148,93.58359920904489,40.0,64.0,144.0,104.0,1.1961614063829689,-0.06183361366545581
Bwd_Header_Length,2522362,0,80,87.74913910057319,40.0,20.0,-148.0,300.0,448.0,8851.521521604383,94.08252505967505,20.0,40.0,132.0,112.0,1.2496533739425093,0.2107734514551174
Bwd_Packets_s,2522362,0,1105635,1308.02360492212,19.12923713,5208.0818566761245,0.0,5208.0818566761245,5208.0818566761245,4882576.403705401,2209.6552680690716,0.16765054925,19.12923713,2083.333333,2083.16568245075,1.1673306890095416,-0.6036977104645036
Min_Packet_Length,2522362,0,83,16.48679352923966,2.0,0.0,0.0,92.5,92.5,460.09053732699203,21.449721148000783,0.0,2.0,37.0,37.0,0.9366904789509148,-0.33601569505799445
Max_Packet_Length,2522362,0,2754,649.6077811194428,102.0,6.0,0.0,2756.0,2756.0,997515.6108839305,998.757032958432,6.0,102.0,1106.0,1100.0,1.3503814076009693,0.14203574977581912
Packet_Length_Mean,2522362,0,119665,114.92232520743067,63.6,379.33333325,0.0,379.33333325,379.33333325,17881.122195509208,133.72031332415133,6.0,63.6,155.3333333,149.3333333,1.141806411823104,-0.25186653033388584
Packet_Length_Variance,2522362,0,171533,64121.30895251972,1045.333333,0.0,0.0,259332.3795625005,259332.3795625005,11190910457.343912,105787.09967356092,5.333333333,1045.333333,103736.15182500001,103730.81849166701,1.1973386407168898,-0.46793247384632775
FIN_Flag_Count,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH_Flag_Count,2522362,0,2,0.29751915070081136,0.0,0.0,0.0,1.0,1.0,0.20900158852655326,0.45716691538928456,0.0,0.0,1.0,1.0,0.8858078003107663,-1.2153455045659176
ACK_Flag_Count,2522362,0,2,0.31218754484883615,0.0,0.0,0.0,1.0,1.0,0.21472656681925548,0.46338598038703704,0.0,0.0,1.0,1.0,0.8106097811260365,-1.3429128475492311
URG_Flag_Count,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down_Up_Ratio,2522362,0,4,0.6762572144680264,1.0,1.0,0.0,2.5,2.5,0.2973377024281377,0.5452868074950444,0.0,1.0,1.0,1.0,0.11697167260415724,-0.07351301557758383
Init_Win_bytes_forward,2522362,0,8255,4601.610082930206,251.0,-1.0,-1.0,20481.5,20482.5,56196921.87468918,7496.46062316672,-1.0,251.0,8192.0,8193.0,1.3990542442550464,0.3175836701319308
Init_Win_bytes_backward,2522362,0,591,135.23478628365,0.0,-1.0,-1.0,589.0,590.0,39017.34751837911,197.5280929852235,-1.0,0.0,235.0,236.0,1.3070146481865674,0.43114734329037496
act_data_pkt_fwd,2522362,0,9,1.862033681129037,1.0,1.0,0.0,7.5,7.5,5.221236802767957,2.285002582661113,0.0,1.0,3.0,3.0,1.4196831519509847,0.8336098480944414
min_seg_size_forward,2522362,0,18,25.884976858991692,20.0,20.0,2.0,50.0,48.0,42.44933311928755,6.5153152739746645,20.0,20.0,32.0,12.0,0.39265659032387956,-1.1463549412622496
Active_Mean,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_Std,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_Max,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_Min,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idle_Std,2522362,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,2522362,0,15,0.8132345793347664,0.0,0.0,0.0,14.0,14.0,4.8118911916172245,2.1936023321507534,0.0,0.0,0.0,0.0,3.1835582171043035,9.985001339960219
